카테고리번호,HOT/ICE,분류,가격,이름,칼로리(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(g),나트륨(mg),콜레스테롤(mg),카페인(mg),알레르기 유발물질,연령
8,ICE,에이드,2500,유니콘매직에이드,268.4,66.4,65.1,0.1,0.3,0,0,45.7,0,0,-,"어린이, 청소년, 성인, 노인"
1,ICE,에이드,3800,제로부스트 에이드,15.7,317,0.6,8,0.5,1,0,66,0.01,0,-,"어린이, 청소년, 성인, 노인"
1,ICE,스무디&프라페,2500,플레인 요거트스무디,514.9,109,84.5,7.5,5.4,2.2,0.1,103.4,22.3,0,우유,"어린이, 청소년, 성인, 노인"
2,ICE,스무디&프라페,2700,망고 요거트스무디 ,365.2,74.1,56.4,6,5,2.3,0.1,75.1,17.6,0,우유,"어린이, 청소년, 성인, 노인"
3,ICE,스무디&프라페,2900,딸기 요거트스무디,388.8,80.7,62.5,5,4.7,2,0.1,66.7,16.8,0,우유,"어린이, 청소년, 성인, 노인"
4,ICE,스무디&프라페,3400,쿠키프라페,697.8,108.5,59.7,9.8,24.9,15.6,0,411.7,20.6,6.8,"우유, 밀, 대두","어린이, 청소년, 성인, 노인"
5,ICE,스무디&프라페,3900,민트프라페,522.3,104.9,64.5,5,20.3,16.1,0,192.9,13.8,5.5,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
6,ICE,스무디&프라페,3700,리얼초코프라떼,580.8,103.8,75.4,8,14.8,14.6,0,223.3,8.6,32.1,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
7,ICE,스무디&프라페,3900,녹차프라메,620,118.8,80.7,6,13.4,10.2,0,129.9,100,1988,"우유, 대두","어린이, 청소년, 성인, 노인"
8,ICE,스무디&프라페,2900,커피프라페,414.3,69.8,35.6,6.5,12.1,11.9,0,168,15,162.6,"우유, 대두","어린이, 청소년, 성인, 노인"
9,ICE,스무디&프라페,3400,딸기쿠키프라페,583.3,103.7,65.4,7.7,15.3,12.5,0,247.7,17.2,2.6,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
10,ICE,스무디&프라페,3900,플레인 퐁 크러쉬,468.6,87.9,46.2,10.5,9.7,6,0.2,154.8,22.2,0,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
11,ICE,스무디&프라페,3000,딸기퐁 크러쉬,536.9,97,45.9,10.9,11.7,7.1,0.2,156.1,22.4,0,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
12,ICE,스무디&프라페,2000,바나나퐁크러쉬,593.8,121.5,64.2,10.8,7.1,4.6,0.1,167.3,22.1,0,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
13,ICE,스무디&프라페,2500,초코허니 퐁크러쉬,594.6,109.3,67.6,11.9,12.2,7.8,0,216.2,22.9,10,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
14,ICE,스무디&프라페,2500,코코넛 커피 스무디,746.5,97,61.4,9.4,35.7,29.3,0.2,347.1,17,173.8,우유,"어린이, 청소년, 성인, 노인"
15,ICE,스무디&프라페,2500,골드망고스무디,209.5,50.9,38.4,0.8,0.3,0.1,0,20.7,0,0,-,"어린이, 청소년, 성인, 노인"
16,ICE,스무디&프라페,4200,유니콘 프라페,484.4,75.5,52.4,7,17.2,11.4,0,188.2,18.9,0,"우유, 대두","어린이, 청소년, 성인, 노인"
2,ICE,스무디&프라페,3000,블루베리요거트 스무디,531.8,114.5,109.3,6,5.6,2.5,0.1,133.5,18.1,0,우유,"어린이, 청소년, 성인, 노인"
5,ICE,스무디&프라페,3300,귤톡톡젤리 스무디,364.3,89.2,86.2,0.5,0.6,0,0,81.4,0,0,-,"어린이, 청소년, 성인, 노인"
1,디저트,디저트,2500,치즈케익,334,25,14,6,23,15,0.7,22.3,96,,"달걀, 우유, 대두, 밀, 이산화황","어린이, 청소년, 성인, 노인"
2,디저트,디저트,2500,초코무스 케익,341,34,24,4,21,14,0.4,68,61,,"계란, 우유, 대두, 밀, 돼지고기","어린이, 청소년, 성인, 노인"
3,디저트,디저트,2500,티라미수 케익,368,30,20,6,25,17,0.7,213,99,,"계란, 우유, 대두, 밀, 돼지고기, 아황산류","어린이, 청소년, 성인, 노인"
4,디저트,디저트,2500,허니브레드,799,113,25,15,32,21,0,972,2,,"밀, 대두, 우유","어린이, 청소년, 성인, 노인"
5,디저트,디저트,3700,크로크무슈,364,36,4,16,17,9,0.3,719,26,,"계란, 우유, 대두, 밀, 돼지고기","어린이, 청소년, 성인, 노인"
6,디저트,디저트,3500,감자빵,315,50,15,4,11,5,0.3,240,49,,"계란, 우유, 대두","어린이, 청소년, 성인, 노인"
7,디저트,디저트,3300,플레인 크로플,264,33,7,5,12,7,0.1,30,7,,"계란, 우유, 밀, 대두","어린이, 청소년, 성인, 노인"
8,디저트,디저트,3300,마카다미아 쿠키,318,41,26,5,15,5,0,198,16,,"계란, 우유, 대두, 밀, 이산화황","어린이, 청소년, 성인, 노인"
9,디저트,디저트,3300,초콜릿칩 쿠키,319,39,23,3,16,6,0,247,16,,"계란, 우유, 대두, 밀","어린이, 청소년, 성인, 노인"
10,디저트,디저트,2500,유니콘프라페 마카롱,243,23,21,3,15,6,0.2,28,70,,"계란, 우유, 대두, 밀","어린이, 청소년, 성인, 노인"
11,디저트,디저트,2500,메가초코 마카롱,251,24,20,4,16,7,0.3,46,44,,"계란, 우유, 대두, 밀, 오징어, 땅콩","어린이, 청소년, 성인, 노인"
12,디저트,디저트,2500,딸기요거트 마카롱,226,25,18,3,13,6,0.3,32,52,,"계란 우유, 대두, 밀","어린이, 청소년, 성인, 노인"
13,디저트,디저트,2500,몽쉘 케이크,384,45,26,5,20,14,0,210,60,,"계란 우유, 대두, 밀","어린이, 청소년, 성인, 노인"
14,디저트,디저트,3900,초코 스모어 쿠키,575,77,33,10,25,15,0.6,590,65,,"계란, 우유, 대두, 밀, 돼지고기","어린이, 청소년, 성인, 노인"
15,디저트,디저트,4400,아이스 허니 와앙 슈,200,26,10,4,9,5,0,110,40,,"계란 우유, 대두, 밀","어린이, 청소년, 성인, 노인"
16,디저트,디저트,4400,햄앤치즈 샌드,215,23,5,7,11,5,0,360,85,,"대두, 밀, 우유, 달걀, 돼지고기, 소고기, 조개류(굴), 닭고기","어린이, 청소년, 성인, 노인"
17,디저트,디저트,2900,버터버터 소금빵,336,36,1,5,19,12,0,417,45,,"밀, 대두, 우유","어린이, 청소년, 성인, 노인"
18,디저트,디저트,3800,와앙 피자 보름달빵,429,48,8,16,19,7,0.2,970,30,,"밀, 대두, 우유, 달걀, 닭고기, 돼지고기, 토마토, 아황산류","어린이, 청소년, 성인, 노인"
19,디저트,디저트,4400,초코젤라또 크로플,368,44,11,7,18,11,0.1,327,9,,"계란, 우유, 밀, 대두","어린이, 청소년, 성인, 노인"
20,디저트,디저트,3200,핫 치킨&딥치즈 치아바타,567,59,10,22,27,5,0.5미만,15.81,70,,"알류, 우유, 대두, 밀, 돼지고기, 닭고기, 쇠고기, 조개류(굴, 바지락)","어린이, 청소년, 성인, 노인"
21,디저트,디저트,3400,와앙 바닐라 슈크림빵,382,48,15,7,18,12,0,199,92,,"계란, 우유, 밀, 대두","어린이, 청소년, 성인, 노인"
22,디저트,디저트,5100,버터버터 에그베이컨 샌드위치,323,20,7,9,23,6,0.5미만,803,74,,"달걀, 우유, 대두, 밀, 돼지고기, 쇠고기, 조개류(굴)","어린이, 청소년, 성인, 노인"
23,디저트,디저트,5400,버터버터 뜯어먹는 식빵,215,17,5,4,15,7,0.3,290,35,,"밀, 우유, 계란","어린이, 청소년, 성인, 노인"
24,디저트,디저트,1900,버터버터 마늘 크로크무슈,441,52,8,19,17,7,0,952,31,,"밀, 대두, 우유, 계란, 돼지고기","어린이, 청소년, 성인, 노인"
25,디저트,디저트,1900,저당 우유 생크림 케익,170,22,1,3,8,5,0.1,63,60,,"밀, 대두, 우유, 달걀, 아황산류","어린이, 청소년, 성인, 노인"
